figure,title,date,short_desc
https://images.loksatta.com/2021/02/modi-3-1-300x200.jpg?w=300,इये ‘आंदोलन’जीवियें..,"February 10, 2021 12:09 am					","पंतप्रधानांनी चर्चेचे निमंत्रण पुन्हा दिले, ते स्वीकारून चर्चा व्हायला हवी. म्हणजे त्यात मार्ग सापडेल आणि आंदोलन मिटेल.."
https://images.loksatta.com/2021/02/Uttarakhand-Flood-1-300x200.jpg?w=300,देवभूमीतील दैत्य!,"February 9, 2021 12:20 am					","देवस्थाने, अनेक नद्यांचे उगम वगैरेमुळे उत्तराखंडास ‘देवभूमी’ म्हटले जाते. छान असतात अशी बिरुदे."
https://images.loksatta.com/2021/02/budjet-2-300x200.jpg?w=300,वाटणी की…?,"February 8, 2021 12:13 am					",तीन वर्षांपूर्वी काही अर्थतज्ज्ञांनी उत्तर प्रदेशातील गरीब शेतकऱ्यांचा भार तमिळनाडू वा प्रगत दक्षिणी राज्ये कसा उचलतात हे साधार दाखवून दिले होते.
https://images.loksatta.com/2021/02/sachin-1-300x200.jpg?w=300,प्रतिवाद आणि प्रतारणा,"February 6, 2021 12:07 am					","शेतकरी आंदोलन ही भारताची अंतर्गत बाब आहे, हे सर्वपरिचित सत्य भारतीय तारे-तारकांनी दोन महिन्यांनंतर, एकच ‘हॅशटॅग’ वापरून सांगितले.."
https://images.loksatta.com/2021/02/Sharjeel-Usmani-3-300x200.jpg?w=300,ऊटपटांग वि. उथळ,"February 5, 2021 12:04 am					",कर्तृत्व वा कर्तृत्वशून्यता या दोनही निकषांवर या स्तंभातून दखल घ्यावी असा या कोणा शार्जिल उस्मानी या इसमाचा लौकिक नाही
https://images.loksatta.com/2021/02/Jaishankar-new-300x200.jpg?w=300,विश्वगुरू घाबरले?,"February 4, 2021 12:04 am					",चांगल्या शिक्षणाचा हा परिणाम. खऱ्या शिक्षिताच्या वैचारिक मुक्ततेची अनेक उदात्त उदाहरणे इतिहासात आढळतील
https://images.loksatta.com/2021/02/share-market-1-300x200.jpg?w=300,बुडबुडय़ाचा भरवसा!,"February 3, 2021 12:04 am					","सेन्सेक्सची घोडदौड आहे, पण अर्थव्यवस्था जोमात आहे असे नाही."
https://images.loksatta.com/2021/02/Nirmala-Sitaraman1-300x200.jpg?w=300,जेथे मिळे धरेला..,"February 2, 2021 12:06 am					",गरज ही शोधाची जननी असली तरी संकट ही कृतीची प्रेरणा असते. नरेंद्र मोदी सरकारचा या तत्त्वावर विश्वास असावा.
https://images.loksatta.com/2021/01/wef-300x200.jpg?w=300,अज्ञानी आनंद,"February 1, 2021 12:39 am					",काही निवडकांहाती असलेली ही डिजिटल युगाची सूत्रे हा या अहवालातील आणखी एक गंभीर इशारा
https://images.loksatta.com/2021/01/nirmala-sitaraman-1-1-300x200.jpg?w=300,उणे आणि उणे-दुणे..,"January 30, 2021 12:38 am					","निव्वळ गणिती निकष पाहता, उणे ७.७ टक्के खोलात गेल्यानंतर ११ टक्क्यांची भरारी म्हणजे वास्तवात ३.३ टक्केच प्रगती! "
https://images.loksatta.com/2021/01/maharashtra-3-300x200.jpg?w=300,महाराष्ट्र ‘धर्म’!,"January 29, 2021 12:46 am					",महाराष्ट्रात उद्योगवाढीसाठी सध्याची सर्वात मोठी अडचण म्हणजे ठिकठिकाणी उदयास आलेली सर्वपक्षीय ग्रामदैवते.
https://images.loksatta.com/2021/01/farmer-tractor-rally-protest-delhi-tashi-1-1-300x200.jpg?w=300,अंधश्रद्धा सोडा..,"January 28, 2021 12:04 am					",नेतृत्व देशाचे असो की शेतकऱ्यांचे; ते वास्तवापासून तुटून चालत नाही. शेती कायदेविरोधी आंदोलनाबाबत हे असे झाले आहे..
https://images.loksatta.com/2021/01/jayant-1-300x200.jpg?w=300,..जडेल नाते ‘प्रभु’शी तयाचे!,"January 26, 2021 12:04 am					","प्रज्ञा, प्रतिभा, सर्जनशीलता यांचा संगम असलेले नारळीकर लेखक आहेत; तसेच उत्तम विज्ञान संवादकही आहेत.."
https://images.loksatta.com/2021/01/facebook-google-300x200.jpg?w=300,कंपनी सरकार!,"January 26, 2021 07:31 am					",ऑस्ट्रेलियाच्या माध्यमांना गूगलने स्वामित्व शुल्क देणे बंधनकारक करू पाहणारा एक कायदा आणला आहे.
https://images.loksatta.com/2021/01/india-1-300x200.jpg?w=300,धुंद आणि भान,"January 23, 2021 12:03 am					",विजयाचे सोयर आणि पराभवाचे सुतक यापल्याड क्रिकेटकडे पाहायला शिकले पाहिजे
https://images.loksatta.com/2021/01/mn876-1-300x200.jpg?w=300,सकळिकांचें राखों जाणे,"January 22, 2021 12:04 am					","संघाच्या दबावामुळे का असेना या मुद्दय़ावर सरकारला अखेर शहाणपणाची जाणीव झाली, ही स्वागतार्हच बाब म्हणायची."
https://images.loksatta.com/2021/01/whatsapp-4-300x200.jpg?w=300,कुसळ आणि मुसळ!,"January 21, 2021 01:18 am					",फेसबुकच्या या लोकप्रिय अ‍ॅपबाबतचे धोरण अलीकडे जाहीर झाले आणि हे अ‍ॅप वापरणाऱ्यांत एकच खळबळ उडाली.
https://images.loksatta.com/2021/01/kamala-harris-4-300x200.jpg?w=300,शहाणिवेची शपथ,"January 20, 2021 12:04 am					",जो बायडेन यांच्यासाठी कमला हॅरिस या एक प्रकारे कार्यकारी अध्यक्ष असतील. कठोर भूमिका घेऊन कार्य तडीस नेण्याचे काम हॅरिस यांचे असेल..
https://images.loksatta.com/2021/01/Arnab-Goswami-4-300x200.jpg?w=300,डावे-उजवे की उजवे-डावे?,"January 19, 2021 12:43 am					","आपल्याला जवळच्या विचारधारेचा असेल तर तो चांगला पत्रकार, आणि तसा नसेल तर तो वाईट, या मांडणीतून समाजाची बालबुद्धी दिसते.."
https://images.loksatta.com/2021/01/vecine-2-300x200.jpg?w=300,ध्यास सर्वोत्तमाचा!,"January 18, 2021 04:12 am					",विकसित देशांतही दिली जाणार आहे ती कोव्हिशिल्ड.
https://images.loksatta.com/2021/01/affair-300x200.jpg?w=300,उणी-धुणी,"January 16, 2021 12:03 am					",कुणाला इथे तीन वर्षांपूर्वी केंद्र सरकारमधील एका मंत्र्यावर झालेल्या ‘मीटू’ आरोपांची आठवण येईल.
https://images.loksatta.com/2020/12/petrol-300x200.jpg?w=300,सारं कसं शांत शांत!,"January 15, 2021 12:04 am					",सरकारी मिळकत वाढली हे जर खरे असेल तर नागरिकांकडून इतक्या इंधन दरवसुलीची गरज नाही. 
https://images.loksatta.com/2021/01/bird-flu-13-300x200.jpg?w=300,‘साथ साथ’,"January 14, 2021 12:05 am					",बर्ड फ्लू आदी साथीच्या वृत्तांमध्ये नागरिक दंग झाले की अलीकडे औषध कंपन्यांप्रमाणे सरकार वगैरे यंत्रणाही खूश होतात.
